dev,review,qa,accepted,url
2.08,1.75,0.95,0.23,https://agile.enova.com/browse/AND-308
0.28,0.90,1.78,0.23,https://agile.enova.com/browse/AND-309
3.95,1.07,2.90,0.10,https://agile.enova.com/browse/AND-316
2.75,0.95,3.09,0.10,https://agile.enova.com/browse/AND-327
0.01,0.80,3.25,0.72,https://agile.enova.com/browse/IOS-544
0.01,1.80,2.20,0.72,https://agile.enova.com/browse/IOS-552
1.85,3.90,3.05,0.06,https://agile.enova.com/browse/MAPI-150
0.05,0.01,0.95,2.80,https://agile.enova.com/browse/MAPI-151
0.01,0.02,0.02,1.92,https://agile.enova.com/browse/MAPI-152
0.82,1.03,3.90,0.11,https://agile.enova.com/browse/IOS-535
0.05,0.05,1.95,0.23,https://agile.enova.com/browse/IOS-538
0.01,0.79,3.25,0.74,https://agile.enova.com/browse/IOS-539
